Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
192,[01:57:26.452],682.00,578.00,693.00,677.00,685.00,578.00
193,[01:57:26.491],687.00,527.00,685.00,687.00,682.00,578.00
194,[01:57:26.531],683.00,578.00,686.00,674.00,697.00,578.00
195,[01:57:26.571],678.00,523.00,693.00,695.00,687.00,578.00
196,[01:57:26.612],693.00,578.00,673.00,683.00,692.00,565.00
197,[01:57:26.652],694.00,547.00,687.00,677.00,688.00,553.00
198,[01:57:26.692],690.00,532.00,672.00,677.00,681.00,558.00
199,[01:57:26.732],681.00,524.00,688.00,675.00,687.00,565.00
200,[01:57:26.772],667.00,578.00,681.00,677.00,704.00,570.00
201,[01:57:26.812],687.00,578.00,689.00,677.00,698.00,554.00
202,[01:57:26.852],696.00,578.00,686.00,675.00,683.00,578.00
203,[01:57:26.892],663.00,578.00,683.00,682.00,689.00,578.00
204,[01:57:26.933],681.00,668.00,691.00,694.00,674.00,578.00
205,[01:57:26.972],678.00,523.00,682.00,681.00,698.00,578.00
206,[01:57:27.013],13886,13958,19192,19181,25207,20743
207,[01:57:27.053],49728,38282,49038,49187,48491,40001
208,[01:57:27.093],49713,38286,49350,49224,47224,39009
209,[01:57:27.134],11451,8568.0,5777.0,5820.0,693.00,560.00
210,[01:57:27.173],693.00,670.00,669.00,687.00,696.00,559.00
211,[01:57:27.213],696.00,578.00,689.00,682.00,690.00,578.00
212,[01:57:27.253],695.00,578.00,679.00,679.00,693.00,567.00
213,[01:57:27.293],682.00,578.00,703.00,688.00,677.00,564.00
214,[01:57:27.334],699.00,523.00,694.00,676.00,686.00,560.00
215,[01:57:27.374],684.00,578.00,689.00,693.00,687.00,569.00
216,[01:57:27.414],695.00,532.00,687.00,683.00,674.00,563.00
217,[01:57:27.454],678.00,545.00,693.00,677.00,689.00,566.00
218,[01:57:27.495],674.00,529.00,694.00,691.00,686.00,578.00
219,[01:57:27.534],684.00,665.00,685.00,683.00,699.00,578.00
220,[01:57:27.574],674.00,578.00,680.00,692.00,696.00,569.00
221,[01:57:27.614],687.00,530.00,696.00,682.00,690.00,578.00
